nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,KnowForTitleNames
nm1093951,Aaron Taylor-Johnson,1990,\N,"Actor,  Producer,  Writer","tt1250777,tt4550098,tt1266029,tt1650554","Kick-Ass, Nocturnal Animals, Nowhere Boy, Kick-Ass 2"
nm10985946,Jose Ferrer,\N,\N,Camera Department,tt10942946,Confeti
nm11636065,Jamie Clayton,\N,\N,\N,tt4770018,Love Island
nm11708720,T.J. Miller,\N,\N,Actor,"tt12636440,tt12681666","The Secrets That Bind, The Secrets That Bind"
nm12026912,Jamie Chung,\N,\N,Producer,"tt3761372,tt13377952","The Blue Dildo, A. Dot's Story of Grime"
nm12089711,Long Vo,\N,\N,\N,tt13519520,I Am Street Fighter: 25 Years of Inspiration
nm12420922,Siddarth,\N,\N,Actor,tt14287880,Jeevana Dhaare
nm12481338,Frankie Alvarez,\N,\N,\N,tt7017872,Movie Trivia Schmoedown
nm1250791,Sterling K. Brown,1976,\N,"Actor,  Producer,  Soundtrack","tt1825683,tt23561236,tt8652728,tt3829266","Black Panther, American Fiction, Waves, The Predator"
nm1265337,Constance Brenneman,\N,\N,"Actress,  Producer,  Director","tt2219214,tt11251638,tt27170274,tt4184714","The Toy Soldiers, Finding Inner Hero, Built Different, Batgirl Rises"
nm12692995,Alexandra Shipp,\N,\N,\N,\N,
nm1269983,Krysten Ritter,\N,\N,"Actress,  Producer,  Director","tt2357547,tt1126590,tt1819509,tt0903747","Jessica Jones, Big Eyes, Don't Trust the B---- in Apartment 23, Breaking Bad"
nm1275101,Shannon Chan-Kent,1988,\N,"Actress,  Music Department,  Costume Department","tt9223870,tt7820906,tt6088922,tt1751105","Woke, Good Trouble, Life Sentence, My Little Pony: Friendship Is Magic"
nm1320827,Randall Park,\N,\N,"Actor,  Writer,  Director","tt9140560,tt7374948,tt3551096,tt2788710","WandaVision, Always Be My Maybe, Fresh Off the Boat, The Interview"
nm1325419,Kristen Wiig,1973,\N,"Actress,  Producer,  Writer","tt1478338,tt1571249,tt0359950,tt1608290","Bridesmaids, The Skeleton Twins, The Secret Life of Walter Mitty, Zoolander 2"
nm1330560,Garrett Hedlund,1984,\N,"Actor,  Producer,  Soundtrack","tt1104001,tt2396589,tt0337692,tt0430105","Tron: Legacy, Mudbound, On the Road, Four Brothers"
nm13520597,Brian Rivera,\N,\N,"Producer,  Director","tt1033805,tt14627480,tt17491842,tt6285524","E:60, WWE Evil, PBC Fight Camp, Campus Eats"
nm13677320,Doechii,\N,\N,"Actress,  Composer,  Soundtrack","tt18382328,tt32828594,tt29763370,tt15313618","Earth Mama, Outloud Music Festival Feat. Kylie Minogue, Kesha, Diplo, Wendell and Wild How Doechii & Baby Tate Tackle Their Inner Demons, MTV Push"
nm13999713,Tia Nomore,\N,\N,Actor,"tt18382328,tt32482512","Earth Mama, I Thought You'd Never Ask"
nm1406333,Ian Anthony Dale,1978,\N,"Actor,  Director,  Archive Footage","tt1520211,tt6483832,tt1600194,tt6170874","The Walking Dead, The Resident, Hawaii Five-0, Salvation"
nm1429380,Britt Robertson,1990,\N,"Actress,  Director,  Writer","tt1964418,tt2505294,tt1763303,tt3922818","Tomorrowland, Ask Me Anything, The First Time, The Space Between Us"
nm1431940,Evangeline Lilly,1979,\N,"Actress,  Soundtrack,  Archive Footage","tt1170358,tt0478970,tt5095030,tt2310332","The Hobbit: The Desolation of Smaug, Ant-Man, Ant-Man and the Wasp, The Hobbit: The Battle of the Five Armies"
nm14515756,Lillian Phan,\N,\N,\N,tt25154554,Chef Dynasty: House of Fang
nm1557329,Jessica Rothe,1987,\N,"Actress,  Producer,  Executive","tt5308322,tt8155288,tt3783958,tt8305852","Happy Death Day, Happy Death Day 2U, La La Land, All My Life"
nm15612710,Lauren Chew,\N,\N,"Writer,  Animation Department",tt30476876,The Unlucky Rabbit
nm15685474,Nithya Menon,\N,\N,\N,\N,
nm1596124,Larry Kitagawa,\N,\N,"Actor,  Producer,  Miscellaneous","tt2923838,tt3521148,tt1719555,tt8575078","Double Deception, Dead End, Omakase, Mirror"
nm16083404,Priya Anand,\N,\N,Producer,tt32230744,Pei Kadhal
nm16219585,D'Arcy Drollinger,\N,\N,\N,tt11874658,SBS World News
nm16481527,Ellen Page,\N,\N,\N,\N,
nm1710309,Emory Cohen,1990,\N,"Actor,  Producer,  Archive Footage","tt2381111,tt1817273,tt4635282,tt4669296","Brooklyn, The Place Beyond the Pines, The OA, Lords of Chaos"
nm1779870,Brit Marling,1982,\N,"Writer,  Actress,  Producer","tt1549572,tt1869716,tt1748207,tt4635282","Another Earth, The East, Sound of My Voice, The OA"
nm1782299,Imogen Poots,1989,\N,"Actress,  Producer,  Soundtrack","tt8368406,tt4062536,tt0463854,tt2101383","Vivarium, Green Room, 28 Weeks Later, Knight of Cups"
nm1813221,Gugu Mbatha-Raw,1983,\N,"Actress,  Producer,  Soundtrack","tt2404181,tt3125324,tt3322364,tt2771200","Belle, Beyond the Lights, Concussion, Beauty and the Beast"
nm1869029,Sterling Beaumon,1995,\N,"Actor,  Producer,  Director","tt1637727,tt16424988,tt0411008,tt6110318","The Killing, Your Lucky Day, Lost, Law & Order True Crime"
nm1981893,Riz Ahmed,1982,\N,"Actor,  Producer,  Writer","tt5363618,tt2872718,tt3748528,tt1341167","Sound of Metal, Nightcrawler, Rogue One: A Star Wars Story, Four Lions"
nm2068649,Jon Norman Schneider,\N,\N,Actor,"tt1205535,tt7241800,tt1294688,tt17720272","The Rebound, Bitter Melon, Last Night, Goosebumps"
nm2336966,Greta Lee,1983,\N,"Actress,  Writer,  Producer","tt13238346,tt4633694,tt2170593,tt1850457","Past Lives, Spider-Man: Into the Spider-Verse, St. Vincent, Sisters"
nm2561194,Patrick Epino,\N,\N,"Producer,  Director,  Writer","tt7241800,tt3153524,tt1092018,tt6099328","Bitter Melon, Awesome Asian Bad Guys, Mr. Sadman, Awesome Bad Guys"
nm2592137,Rafael Casal,1985,\N,"Actor,  Writer,  Producer","tt7242142,tt8206668,tt0329823","Blindspotting, Bad Education, Def Poetry"
nm2628935,Kerry Bishé,1984,\N,"Actress,  Soundtrack,  Archive Footage","tt1024648,tt0873886,tt1000774,tt11057302","Argo, Red State, Sex and the City, Madame Web"
nm2719825,Oliver Jackson-Cohen,1986,\N,"Actor,  Archive Footage","tt1051906,tt1433108,tt1322312,tt0770703","The Invisible Man, Faster, Going the Distance, What's Your Number?"
nm2915105,Billy Magnussen,1985,\N,"Actor,  Producer,  Writer","tt2704998,tt2180411,tt2382320,tt1596363","Game Night, Into the Woods, No Time to Die, The Big Short"
nm3010363,Peggy Tseng,1978,\N,Actress,"tt1232827,tt29319990,tt2076315,tt8893498","Parking, The Pig, the Snake and the Pigeon, Revenge of the Factory Woman, A Taiwanese Tale of Two Cities"
nm3014422,Steven LeMay,\N,\N,Actor,"tt13023550,tt28287732,tt4062534,tt1233267","Shit & Champagne, FrankenDivine, Spinward Traveller, Corky's Hot Ice"
nm3042755,Thomas Middleditch,1982,\N,"Actor,  Music Department,  Writer","tt2118624,tt2091256,tt3741700,tt0993846","The Final Girls, Captain Underpants: The First Epic Movie, Godzilla: King of the Monsters, The Wolf of Wall Street"
nm3091777,Josh Brener,\N,\N,"Actor,  Writer,  Producer","tt2575988,tt3581920,tt8879940,tt13016388","Silicon Valley, The Last of Us, Mythic Quest, 3 Body Problem"
nm3340597,Betty Gabriel,1981,\N,"Actress,  Archive Footage","tt5052448,tt6499752,tt4094724,tt4761916","Get Out, Upgrade, The Purge: Election Year, Unfriended: Dark Web"
nm3616206,Nina Arianda,1984,\N,Actress,"tt1605783,tt3385524,tt1606392,tt3513548","Midnight in Paris, Stan & Ollie, Win Win, Richard Jewell"
nm3651929,Shannon Kook,\N,\N,"Actor,  Camera Department,  Producer","tt1457767,tt2402101,tt0288937,tt2661044","The Conjuring, Dark Places, Degrassi: The Next Generation, The 100"
nm3712746,Puneet Prasad,1985,\N,"Actor,  Producer,  Cinematographer","tt11590360,tt2839312,tt6109200,tt2676384","PUNEET!TV, American Brawler, What If We Got Off on the Wrong Foot?, Radioactive Star+1e"
nm3718007,Jonathan Majors,1989,\N,"Actor,  Producer,  Soundtrack","tt10696784,tt4353250,tt7693316,tt9777644","The Harder They Fall, The Last Black Man in San Francisco, Devotion, Da 5 Bloods"
nm3886028,Angourie Rice,2001,\N,"Actress,  Producer,  Soundtrack","tt3799694,tt2250912,tt2268458,tt5592248","The Nice Guys, Spider-Man: Homecoming, These Final Hours, The Beguiled"
nm3899048,Robert Blossom,\N,\N,Director,"tt13315358,tt2265153,tt15261258,tt6474448","Slutty Wives Club, Animal Lust, Dirty Sex Secrets, Big Busted Obsession"
nm4210875,Christy-Anne Lopez,\N,\N,"Producer,  Miscellaneous","tt11755384,tt2507130,tt0463399,tt4423200","E! Investigates, E! News Special: Rob & Kristen - Immortal Love, E! True Hollywood Story, E! Entertainment Special: Kate and Will: Happily Ever After"
nm4399227,Ali Wong,1982,\N,"Actress,  Producer,  Writer","tt5066574,tt7374948,tt14403178,tt7713068","Ali Wong: Baby Cobra, Always Be My Maybe, Beef, Birds of Prey"
nm4420495,Sonoya Mizuno,1986,\N,"Actress,  Soundtrack,  Archive Footage","tt0470752,tt3783958,tt5580146,tt2798920","Ex Machina, La La Land, Maniac, Annihilation"
nm4442319,Kara Hayward,1998,\N,"Actress,  Archive Footage","tt1748122,tt5247022,tt4034228,tt1015471","Moonrise Kingdom, Paterson, Manchester by the Sea, The Sisterhood of Night"
nm4448022,Lorenza Izzo,1989,\N,"Actress,  Soundtrack,  Producer","tt3605418,tt7131622,tt10361016,tt5989218","Knock Knock, Once Upon a Time... in Hollywood, Penny Dreadful: City of Angels, Life Itself"
nm4464919,Ellie Reed,\N,\N,\N,"tt0450897,tt0262152","The Apprentice UK, Breakfast"
nm4855517,Simu Liu,1989,\N,"Actor,  Producer,  Writer","tt9376612,tt1517268,tt5912064,tt10720352","Shang-Chi and the Legend of the Ten Rings, Barbie, Kim's Convenience, Arthur the King"
nm4870523,Amanda Rea,\N,\N,"Actress,  Soundtrack,  Stunts","tt31849826,tt30796986,tt14824792,tt2891574","Doctor Odyssey, NCIS: Origins, Ted, Ballers"
nm4943457,Pierson Fode,1991,\N,Actor,"tt11671006,tt18071996,tt19500224,tt3282858","The Man from Toronto, Out of Hand, Based on a True Story, Naomi and Ely's No Kiss List"
nm4978139,Jaylen Barron,1997,\N,Actress,"tt2382108,tt1415889,tt11097374,tt1586680","See Dad Run, Good Luck Charlie, Blindspotting, Shameless"
nm5093499,Jasmine Cephas Jones,1989,\N,"Actress,  Producer,  Soundtrack","tt7242142,tt7689906,tt8304608,tt10308554","Blindspotting, Monsters and Men, Mrs. Fletcher, #Freerayshawn"
nm5377144,Awkwafina,1988,\N,"Actress,  Writer,  Producer","tt5164214,tt3104988,tt8637428,tt5971474","Ocean's Eight, Crazy Rich Asians, The Farewell, The Little Mermaid"
nm5519961,Frankie J. Alvarez,1983,\N,"Actor,  Writer,  Soundtrack","tt2581458,tt32566563,tt4474344,tt0203259","Looking, Home, Blindspot, Law & Order: Special Victims Unit"
nm7851611,Jharrel Jerome,1997,\N,"Actor,  Producer,  Music Department","tt4975722,tt9362722,tt7137906,tt13649510","Moonlight, Spider-Man: Across the Spider-Verse, When They See Us, I'm a Virgo"
nm7949518,Jin Ha,\N,\N,"Actor,  Producer,  Soundtrack","tt8888462,tt17279496,tt26774318,tt8134186","Pachinko, Civil War, Flying Lessons, Devs"
nm8629338,Jimmie Fails,1994,\N,"Actor,  Writer","tt4353250,tt11161474,tt13650814,tt14893438","The Last Black Man in San Francisco, Pieces of a Woman, Borderline, Wish You Were Here"
nm8898449,Penelope Cruz,\N,\N,"Transportation Department,  Miscellaneous","tt0492680,tt10236760","Marvel Nemesis: Rise of the Imperfects, Peacemaker"
nm9771753,Michael Pena,\N,\N,"Camera Department,  Casting Department,  Composer","tt8498366,tt8266504,tt8268444","Melrose, The Plate Project, Westworld Parody"
